Frame,x,y,Width,Height,Confidence
1701,670,8,445,1072,51.69
1702,670,7,446,1073,51.89
1703,1184,18,686,1062,41.16
1704,670,0,449,1080,58.34
1705,670,0,449,1080,59.46
1706,670,0,450,1080,59.85
1707,670,0,451,1080,59.71
1708,1383,46,486,1034,58.80
1709,1383,46,511,1034,58.09
1710,668,0,457,1080,58.68
1711,668,6,458,1074,51.43
1712,747,6,380,1074,58.47
1713,1190,18,679,1062,40.06
1714,1416,296,450,784,72.19
1715,1421,239,448,841,67.11
1716,746,11,383,1069,58.16
1717,662,12,467,1068,50.95
1718,656,11,472,1069,51.59
1719,735,10,392,1070,57.32
1720,654,8,472,1072,49.79
1721,653,6,473,1074,51.14
1722,1410,46,465,1034,64.39
1723,722,0,402,1080,58.66
1724,645,0,478,1080,51.10
1725,699,0,423,1080,61.79
1726,1409,45,488,1035,59.84
1727,719,8,401,1072,58.79
1728,720,6,400,1074,60.05
1729,1425,289,445,791,73.75
1730,686,0,433,1080,62.27
1731,686,0,433,1080,63.39
1732,713,0,407,1080,57.96
1733,711,0,410,1080,59.54
1734,712,0,408,1080,59.95
1735,623,0,498,1080,59.20
1736,678,0,443,1080,61.95
1737,710,0,413,1080,58.60
1738,709,0,414,1080,58.66
1739,711,0,412,1080,59.18
